,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
87,AD Mascarenhas,1449,124,111,30,2,35,0,8,19,7.1
88,MR Marsh,1418,112,144,18,0,39,0,14,20,7.73
89,SK Raina,1401,259,444,40,5,66,0,38,24,7.26
90,VY Mahesh,1368,120,148,21,2,46,2,19,21,8.48
91,WPUJC Vaas,1306,128,94,10,1,41,1,13,18,7.58
92,CRD Fernando,1252,99,94,15,1,30,1,9,17,7.41
93,KW Richardson,1243,124,120,22,1,35,1,23,19,8.3
94,Mustafizur Rahman,1225,137,156,40,1,32,0,10,17,6.84
95,A Symonds,1224,190,232,38,1,45,1,33,20,7.71
96,R Rampaul,1220,130,87,19,2,26,0,14,16,6.9
97,BJ Hodge,1178,75,111,19,0,18,1,14,17,7.87
98,DT Christian,1134,174,204,37,2,58,1,22,19,7.87
99,IC Pandey,1122,212,137,19,5,78,1,17,18,7.8
100,STR Binny,1100,175,227,38,3,60,0,14,18,7.39
101,A Ashish Reddy,1089,79,117,25,3,26,0,20,18,8.89
102,R Dhawan,1028,151,246,44,1,53,2,16,18,7.68
103,TG Southee,1000,233,224,52,9,82,0,25,19,8.0
104,CH Gayle,951,180,277,35,4,51,5,27,18,7.79
105,CK Langeveldt,941,69,63,6,0,19,0,8,13,7.29
106,YA Abdulla,936,88,74,15,0,31,1,13,15,8.41
107,A Zampa,930,32,56,5,0,4,1,5,12,6.84
108,D Wiese,920,79,137,18,2,44,0,9,16,8.5
109,Anureet Singh,896,133,157,23,3,55,2,21,17,8.69
110,RG Sharma,850,88,177,31,3,28,1,14,15,7.88
111,AC Thomas,844,126,118,28,1,42,1,11,14,7.66
112,A Chandila,829,103,92,11,1,17,0,10,11,6.28
113,GD McGrath,815,153,112,11,1,41,1,10,12,6.72
114,LR Shukla,806,109,124,35,1,40,1,16,15,8.45
115,BB Sran,779,107,127,24,0,39,1,14,14,8.08
116,Umar Gul,770,51,65,13,0,18,1,5,12,7.83
117,SM Pollock,761,130,93,15,2,31,0,9,11,6.62
118,Bipul Sharma,749,103,163,20,2,23,1,24,14,8.04
119,Ankit Sharma,703,135,156,25,4,24,2,17,12,7.06
120,ST Jayasuriya,696,83,156,21,0,23,2,16,13,7.9
121,RR Powar,695,166,182,29,4,42,2,18,13,7.32
122,SJ Srivastava,687,103,121,16,1,50,2,13,14,8.71
123,SMSM Senanayake,608,73,89,9,2,17,0,5,9,6.53
124,P Negi,602,124,214,34,0,42,0,25,14,8.21
125,AC Gilchrist,601,1,0,0,0,0,0,0,1,0.0
126,J Theron,585,68,116,14,0,28,0,8,11,7.79
127,BA Bhatt,574,93,140,18,2,37,0,13,12,8.11
128,AB McDonald,543,50,97,10,0,20,0,11,11,8.43
129,SE Bond,536,75,73,13,0,27,0,3,9,7.14
130,Karanveer Singh,526,64,90,20,1,19,0,19,12,9.15
131,JR Hopes,525,105,166,26,0,44,0,28,14,9.17
132,T Thushara,510,57,57,11,0,14,1,4,8,6.83
133,RS Bopara,507,61,101,13,0,26,2,10,11,8.53
134,CJ Jordan,498,49,83,16,0,23,1,9,11,8.84
135,TA Boult,493,82,69,13,1,36,0,6,10,8.1
136,AN Ahmed,483,120,151,22,1,45,3,18,12,8.35
137,MN Samuels,469,74,83,13,0,22,0,9,9,7.54
138,Kamran Khan,468,63,71,7,1,25,0,10,10,8.46
139,AG Murtaza,455,101,119,11,0,23,1,14,9,7.24
140,Shahid Afridi,443,57,87,14,0,20,0,7,9,7.77
141,DJG Sammy,441,72,105,21,1,33,0,12,11,8.76
142,Joginder Sharma,438,71,129,17,0,35,3,16,12,9.18
143,V Pratap Singh,415,71,84,13,2,31,0,10,10,8.55
144,P Parameswaran,409,64,54,7,0,23,1,9,9,8.36
145,Sandeep Sharma (1),408,41,32,5,0,16,0,4,8,8.02
146,SC Ganguly,408,75,147,18,1,25,0,14,10,7.97
147,KP Appanna,390,68,104,17,1,21,0,11,9,7.86
148,VRV Singh,389,114,149,31,3,58,0,15,12,8.83
149,Anand Rajan,387,57,70,10,0,17,0,8,8,7.63
150,R McLaren,368,116,144,28,2,70,1,10,12,8.96
151,SB Styris,353,83,94,12,0,19,0,14,8,7.51
152,JEC Franklin,332,39,76,11,1,22,0,6,9,8.82
153,AM Nayar,327,69,113,22,0,22,0,13,9,8.18
154,BAW Mendis,327,76,124,17,1,17,1,12,8,7.43
155,J Suchith,324,70,115,23,2,28,0,15,10,8.76
156,Pankaj Singh,321,111,108,17,5,52,1,17,11,9.17
157,Mohammed Shami,313,147,187,28,1,68,2,22,12,8.74
158,M Ntini,313,99,66,8,1,31,0,8,7,7.28
159,KP Pietersen,309,54,94,11,1,10,1,9,7,7.27
